time_s,phase,staged,stage1_firing,stage2_firing,stage1_fuel_used_kg,stage2_fuel_used_kg,mass_kg,cg_aft_nose_m,mrc_aft_nose_m,cg_from_mrc_body_x_m,ixx_kg_m2,iyy_kg_m2,izz_kg_m2,ixx_rate_kg_m2_s,iyy_rate_kg_m2_s,izz_rate_kg_m2_s
31,stage1_burn,false,true,false,149275.88449502262,0,164724.11550497738,10.701326672832835,16.918790000000001,6.2174633271671667,185314.62994309957,14746780.46012447,14746780.46012447,-5417.270001835499,-604995.38752698491,-604995.38752698491
32,stage1_burn,false,true,false,154091.23560776529,0,159908.76439223471,10.500763339698409,16.918790000000001,6.4180266603015923,179897.35994126403,14141785.072597485,14141785.072597485,-5417.270001835499,-604995.38752698491,-604995.38752698491
33,stage1_burn,false,true,false,158906.58672050797,0,155093.41327949203,10.300200006563985,16.918790000000001,6.6185899934360162,174480.08993942852,13536789.6850705,13536789.6850705,-5417.270001835499,-604995.38752698491,-604995.38752698491
34,stage1_burn,false,true,false,163721.93783325062,0,150278.06216674938,10.099636673429561,16.918790000000001,6.81915332657044,169062.81993759307,12931794.297543516,12931794.297543516,-5417.270001835499,-604995.38752698491,-604995.38752698491
35,stage1_burn,false,true,false,168537.28894599329,0,145462.71105400671,9.8990733402951356,16.918790000000001,7.0197166597048657,163645.54993575753,12326798.910016529,12326798.910016529,-5417.270001835499,-604995.38752698491,-604995.38752698491
36,stage1_burn,false,true,false,173352.64005873597,0,140647.35994126403,9.69851000716071,16.918790000000001,7.2202799928392913,158228.27993392205,11721803.522489544,11721803.522489544,-5417.270001835499,-604995.38752698491,-604995.38752698491
37,stage1_burn,false,true,false,178167.99117147861,0,135832.00882852139,9.4979466740262861,16.918790000000001,7.4208433259737152,152811.00993208657,11116808.134962562,11116808.134962562,-5417.270001835499,-604995.38752698491,-604995.38752698491
37.380451764705882,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
38,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
39,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
40,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
41,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
42,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
43,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
44,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
45,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
46,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
47,stack_coast,false,false,false,180000,0,134000,9.4216420000000003,16.918790000000001,7.497148000000001,150750,10886636.572139001,10886636.572139001,0,0,0
