shot_name,reference_id,section,identifier_kind,identifier,units,value,tolerance,issues
Positive pitch rate,NOTE1,internal,varID,rdr,,0.0,,
Positive pitch rate,NOTE1,internal,varID,xcg,,0.25,,
Positive pitch rate,NOTE1,internal,varID,rtd,,57.29577957855229,,
Positive pitch rate,NOTE1,internal,varID,xcgr,,0.35,,
Positive pitch rate,NOTE1,internal,varID,cbar,,11.32,,
Positive pitch rate,NOTE1,internal,varID,bspan,,30.0,,
Positive pitch rate,NOTE1,internal,varID,del,,0.0,,
Positive pitch rate,NOTE1,internal,varID,dail,,0.0,,
Positive pitch rate,NOTE1,internal,varID,drdr,,0.0,,
Positive pitch rate,NOTE1,internal,varID,cxt,,-0.004,,
Positive pitch rate,NOTE1,internal,varID,cy0,,0.0,,
Positive pitch rate,NOTE1,internal,varID,czt,,-0.416,,
Positive pitch rate,NOTE1,internal,varID,cz1,,-0.416,,
Positive pitch rate,NOTE1,internal,varID,tvt,,600.0,,
Positive pitch rate,NOTE1,internal,varID,b2v,,0.05,,
Positive pitch rate,NOTE1,internal,varID,cq2v,,0.018489333333333333,,
Positive pitch rate,NOTE1,internal,varID,absbeta,,0.0,,
Positive pitch rate,NOTE1,internal,varID,absCl0,,0.0,,
Positive pitch rate,NOTE1,internal,varID,absCn0,,0.0,,
Positive pitch rate,NOTE1,internal,varID,clt,,0.0,,
Positive pitch rate,NOTE1,internal,varID,cmt,,-0.005,,
Positive pitch rate,NOTE1,internal,varID,cnt,,0.0,,
Positive pitch rate,NOTE1,internal,varID,cxq,,1.34,,
Positive pitch rate,NOTE1,internal,varID,cyr,,0.958,,
Positive pitch rate,NOTE1,internal,varID,cyp,,0.11,,
Positive pitch rate,NOTE1,internal,varID,czq,,-31.4,,
Positive pitch rate,NOTE1,internal,varID,clr,,0.113,,
Positive pitch rate,NOTE1,internal,varID,clp,,-0.42,,
Positive pitch rate,NOTE1,internal,varID,cmq,,-5.26,,
Positive pitch rate,NOTE1,internal,varID,cnr,,-0.386,,
Positive pitch rate,NOTE1,internal,varID,cnp,,-0.012,,
Positive pitch rate,NOTE1,internal,varID,dclda,,-0.052,,
Positive pitch rate,NOTE1,internal,varID,dcldr,,0.014,,
Positive pitch rate,NOTE1,internal,varID,dcnda,,-0.009,,
Positive pitch rate,NOTE1,internal,varID,dcndr,,-0.045,,
Positive pitch rate,NOTE1,internal,varID,cl1,,0.0,,
Positive pitch rate,NOTE1,internal,varID,cn1,,0.0,,
Positive pitch rate,NOTE1,internal,varID,cx,,0.020775706666666668,,
Positive pitch rate,NOTE1,internal,varID,cy,,0.0,,
Positive pitch rate,NOTE1,internal,varID,cz,,-0.9965650666666666,,
Positive pitch rate,NOTE1,internal,varID,cl,,0.0,,
Positive pitch rate,NOTE1,internal,varID,cm,,-0.20191039999999996,,
Positive pitch rate,NOTE1,internal,varID,cn,,0.0,,
Positive pitch rate,NOTE1,output,signalName,aeroBodyForceCoefficient_X,nd,0.02077570666667,1e-06,
Positive pitch rate,NOTE1,output,signalName,aeroBodyForceCoefficient_Y,nd,0.0,1e-06,
